"chr" "gene" "dom" "subdom" "exon" "gene.dom" "gene.dom.subdom" "envarp" "envarpf" "envarpfr" "emutr" "envarpfc" "x"
"221" "1" "ACOT7" "-" "-_0" "E9" "ACOT7:-" "ACOT7:-:-_0" 8 4 4 2.5649e-06 0 0.217114209196194
"222" "1" "ACOT7" "-" "-_1" "E4" "ACOT7:-" "ACOT7:-:-_1" 1 1 1 8.6113e-07 0 -0.461697146578869
"223" "1" "ACOT7" "-" "-_1" "E5" "ACOT7:-" "ACOT7:-:-_1" 4 2 2 2.3091e-06 0 -0.170777994103842
"225" "1" "ACOT7" "-" "-_2" "E1" "ACOT7:-" "ACOT7:-:-_2" 7 6 6 2.4339e-06 0 0.120141158371185
"226" "1" "ACOT7" "239526" "239526_0" "E6" "ACOT7:239526" "ACOT7:239526:239526_0" 2 0 0 1.2499e-06 0 -0.36472409575386
"227" "1" "ACOT7" "239526" "239526_0" "E7" "ACOT7:239526" "ACOT7:239526:239526_0" 2 0 0 2.5466e-06 0 -0.36472409575386
"228" "1" "ACOT7" "239526" "239526_0" "E8" "ACOT7:239526" "ACOT7:239526:239526_0" 10 5 5 4.2227e-06 0 0.411060310846212
"229" "1" "ACOT7" "239526" "239526_1" "E1" "ACOT7:239526" "ACOT7:239526:239526_1" 1 0 0 3.4823e-07 0 -0.461697146578869
"230" "1" "ACOT7" "239526" "239526_1" "E2" "ACOT7:239526" "ACOT7:239526:239526_1" 5 2 2 2.8025e-06 0 -0.0738049432788328
"231" "1" "ACOT7" "239526" "239526_1" "E3" "ACOT7:239526" "ACOT7:239526:239526_1" 8 2 2 3.7973e-06 0 0.217114209196194
"1042" "1" "AMY2A" "-" "-_0" "E1" "AMY2A:-" "AMY2A:-:-_0" 3 3 3 7.3157e-07 0 -0.267751044928851
"1045" "1" "AMY2A" "200456" "200456_0" "E1" "AMY2A:200456" "AMY2A:200456:200456_0" 7 5 5 1.6867e-06 0 0.120141158371185
"1046" "1" "AMY2A" "200456" "200456_0" "E2" "AMY2A:200456" "AMY2A:200456:200456_0" 8 6 5 1.5256e-06 1 0.217114209196194
"1048" "1" "AMY2A" "200456" "200456_0" "E4" "AMY2A:200456" "AMY2A:200456:200456_0" 4 4 2 3.1544e-06 2 -0.170777994103842
"1049" "1" "AMY2A" "200456" "200456_0" "E5" "AMY2A:200456" "AMY2A:200456:200456_0" 5 2 1 1.8694e-06 1 -0.0738049432788328
"1959" "1" "ATPIF1" "-" "-_0" "E1" "ATPIF1:-" "ATPIF1:-:-_0" 3 3 3 2.9708e-06 0 -0.267751044928851
"1960" "1" "ATPIF1" "-" "-_0" "E2" "ATPIF1:-" "ATPIF1:-:-_0" 7 6 6 2.6787e-06 0 0.120141158371185
"1961" "1" "ATPIF1" "-" "-_0" "E3" "ATPIF1:-" "ATPIF1:-:-_0" 3 3 3 1.9191e-06 0 -0.267751044928851
"2080" "1" "BARHL2" "-" "-_0" "E3" "BARHL2:-" "BARHL2:-:-_0" 10 5 5 5.9836e-06 0 0.411060310846212
"2081" "1" "BARHL2" "-" "-_1" "E1" "BARHL2:-" "BARHL2:-:-_1" 18 12 12 1.4602e-05 0 1.18684471744628
